LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION COUNTRY CODE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TIME PERIOD,CYCLE STOCK UNITS,CYCLE STOCK WEIGHT,CYCLE STOCK VOLUME,CAPITAL LOCK COST
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,2651.0,0.0,0.0,1128722.4160806376
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,29876.168134818006
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,701579.0126547002
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,92727.09926065804
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,865181.0,0.0,0.0,7959240.390394912
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,676462.4909261672
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,03-2021,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,0.0,0.0,0.0,1.3846323028200978E7
