LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION TYPE,LOCATION COUNTRY CODE,PRODUCT ID,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TIME PERIOD,MANUFACTURING COST,PACKAGING COST,INVENTORY COST,HANDLING COST,C AND F COST,BUYING COST,TOTAL LEAD TIME
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,1793595.67383486,0.0,0.0,0.0,0.0,0.0,30.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,35018.059157181,0.0,0.0,0.0,0.0,0.0,30.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,144482.113625492,0.0,0.0,0.0,0.0,0.0,30.613
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,5387.106660218999,0.0,0.0,0.0,0.0,0.0,30.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,22464.358445056,0.0,0.0,0.0,0.0,0.0,35.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
